"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"6acadb0d","56-60歲","男","高雄市","樂動廣告品牌控"
"8a1147d3","36-40歲","男","新北市","獨立愛遊理財新手"
"f3695525","36-40歲","女","台中市","健康愛家定存控"
"fc29ee8e","51-55歲","女","台南市","傳統保健理財族"
"5e57ba27","66以上","女","台北市","品味養生理財貴族"
"1578e650","56-60歲","女","新北市","品味養生理財貴族"
"58738424","36-40歲","女","高雄市","物質享樂衝購族"
"01ec85ec","46-50歲","男","基隆市","樂動廣告品牌控"
"e06d54d2","36-40歲","女","台北市","獨立愛遊理財新手"
"bdfe5ae9","31-35歲","女","台中市","健康愛家定存控"
"60c7b683","56-60歲","女","台北市","網購社媒手機迷"
"3c21e67d","41-45歲","女","花蓮縣","樂動廣告品牌控"
"46a0c5a0","51-55歲","女","基隆市","傳統保健理財族"
"b98e523a","61-65歲","女","新北市","品味養生理財貴族"
"54f031ef","26-30歲","女","桃園市","獨立愛遊理財新手"
"a0b18a16","46-50歲","女","桃園市","獨立愛遊理財新手"
"904dc30a","61-65歲","男","新北市","愛搜愛比網購客"
"f8947acd","46-50歲","女","嘉義市","獨立愛遊理財新手"
"a11f0560","41-45歲","女","高雄市","愛搜愛比網購客"
"9e629ed6","56-60歲","女","台北市","獨立愛遊理財新手"
"ad403267","36-40歲","女","台中市","物質享樂衝購族"
"0f9c44dc","56-60歲","女","台北市","健康愛家定存控"
"570b6bcf","31-35歲","女","桃園市","樂動廣告品牌控"
"d9c54dd5","56-60歲","男","南投縣","愛搜愛比網購客"
"e11c90a4","36-40歲","男","高雄市","運動科技潮人"
"823cda21","41-45歲","男","台南市","樂動廣告品牌控"
"26ec58a4","46-50歲","女","高雄市","愛搜愛比網購客"
"17efb2dd","46-50歲","女","新竹市","運動科技潮人"
"6cc40a57","36-40歲","女","新北市","品味養生理財貴族"
"7696f98f","46-50歲","女","新北市","運動科技潮人"
"f09ba467","46-50歲","女","桃園市","運動科技潮人"
"10a90945","31-35歲","女","台北市","物質享樂衝購族"
"a332e616","46-50歲","女","新北市","樂動廣告品牌控"
"db23e7c2","36-40歲","女","台北市","物質享樂衝購族"
"2c0ddaad","41-45歲","女","台北市","品味養生理財貴族"
"02b84b64","46-50歲","男","屏東縣","樂動廣告品牌控"
"ae891596","36-40歲","女","桃園市","網購社媒手機迷"
"c38a46f0","41-45歲","男","台南市","樂動廣告品牌控"
"129deb74","36-40歲","女","新北市","樂動廣告品牌控"
"7b39c911","41-45歲","女","台中市","物質享樂衝購族"
"e6e72c2a","36-40歲","女","新竹縣","品味養生理財貴族"
"6e2a92dd","41-45歲","男","南投縣","愛搜愛比網購客"
"08dcd839","41-45歲","女","高雄市","獨立愛遊理財新手"
"b1e6ac8e","61-65歲","女","新北市","健康愛家定存控"
"ffa30157","36-40歲","女","桃園市","物質享樂衝購族"
"5faada2a","51-55歲","女","台北市","品味養生理財貴族"
"44bac29b","66以上","男","台南市","愛搜愛比網購客"
"dc38a3ac","46-50歲","女","台北市","品味養生理財貴族"
"5aecd9df","51-55歲","男","新北市","愛搜愛比網購客"
"e873aab4","31-35歲","男","高雄市","運動科技潮人"
"1947a499","66以上","女","台中市","品味養生理財貴族"
"a1a008ac","41-45歲","女","台中市","網購社媒手機迷"
"42261d29","41-45歲","女","新竹縣","網購社媒手機迷"
"8f5dacfe","36-40歲","女","彰化縣","物質享樂衝購族"
"9c1c0399","36-40歲","男","新竹縣","健康愛家定存控"
"78b5ef8e","66以上","女","新北市","品味養生理財貴族"
"21c5e97e","36-40歲","女","台北市","品味養生理財貴族"
"53d04b0d","26-30歲","女","高雄市","物質享樂衝購族"
"01efe8f7","41-45歲","女","新竹縣","健康愛家定存控"
"dbcde513","41-45歲","女","新竹市","樂動廣告品牌控"
"6beaaa48","41-45歲","女","台中市","品味養生理財貴族"
"cb2db743","31-35歲","男","新竹市","運動科技潮人"
"c17bba89","31-35歲","女","台北市","運動科技潮人"
"dbd6121b","26-30歲","女","台中市","獨立愛遊理財新手"
"c1ab447d","51-55歲","女","桃園市","品味養生理財貴族"
"ceb5dde6","31-35歲","女","台中市","網購社媒手機迷"
"a49543b1","41-45歲","女","桃園市","品味養生理財貴族"
"4bfd8058","51-55歲","男","桃園市","愛搜愛比網購客"
"e931dd65","46-50歲","男","新北市","健康愛家定存控"
"b42a595c","46-50歲","男","台中市","愛搜愛比網購客"
"55a72062","41-45歲","女","新北市","運動科技潮人"
"08e1964e","46-50歲","女","新竹縣","物質享樂衝購族"
"0b69cd18","31-35歲","女","新北市","獨立愛遊理財新手"
"d8f6da7a","26-30歲","女","新北市","獨立愛遊理財新手"
"fccac43e","66以上","女","台中市","健康愛家定存控"
"77fc20fc","31-35歲","女","彰化縣","健康愛家定存控"
"528a900a","51-55歲","女","台北市","品味養生理財貴族"
"ae66880d","36-40歲","女","新竹市","健康愛家定存控"
"1b254bf6","46-50歲","女","台中市","愛搜愛比網購客"
"a4c24d25","46-50歲","女","新北市","運動科技潮人"
"f0b9d0b1","46-50歲","女","台中市","品味養生理財貴族"
"abe22565","51-55歲","女","新竹縣","品味養生理財貴族"
"898872ff","51-55歲","男","台中市","運動科技潮人"
"903cbc8f","26-30歲","女","台中市","物質享樂衝購族"
"08fb26fc","51-55歲","女","宜蘭縣","獨立愛遊理財新手"
"f9d31d9e","61-65歲","女","花蓮縣","網購社媒手機迷"
"cf560788","36-40歲","女","新竹市","網購社媒手機迷"
"a8b2a18c","46-50歲","男","桃園市","運動科技潮人"
"a9725dbc","31-35歲","女","苗栗縣","物質享樂衝購族"
"7cac1905","26-30歲","男","台中市","樂動廣告品牌控"
"560c201b","41-45歲","女","新竹市","運動科技潮人"
"4f5f5de4","41-45歲","女","高雄市","網購社媒手機迷"
"030c4079","51-55歲","男","新北市","愛搜愛比網購客"
"26f7dab8","31-35歲","女","宜蘭縣","物質享樂衝購族"
"5cadbb89","46-50歲","女","新竹市","運動科技潮人"
"25eaa6c0","31-35歲","女","新北市","健康愛家定存控"
"7a24ea25","51-55歲","男","台北市","運動科技潮人"
"ac742dee","46-50歲","男","高雄市","運動科技潮人"
"88bd0b48","41-45歲","女","新北市","傳統保健理財族"
"9e6859ca","51-55歲","男","台中市","運動科技潮人"
"57d50005","56-60歲","女","新北市","獨立愛遊理財新手"
"91c4105b","31-35歲","女","台北市","物質享樂衝購族"
"2c88184b","31-35歲","女","台中市","網購社媒手機迷"
"988f427f","36-40歲","女","新竹縣","獨立愛遊理財新手"
"a925a591","36-40歲","女","台南市","物質享樂衝購族"
"26b26fdf","41-45歲","女","高雄市","網購社媒手機迷"
"5a3ead9a","41-45歲","女","台北市","品味養生理財貴族"
"240f72e9","41-45歲","女","新竹縣","網購社媒手機迷"
"787331c4","36-40歲","女","高雄市","樂動廣告品牌控"
"deaecd7f","46-50歲","女","新竹市","品味養生理財貴族"
"f63969da","41-45歲","女","台中市","健康愛家定存控"
"48d20736","36-40歲","男","高雄市","運動科技潮人"
"6857ae50","36-40歲","女","台中市","健康愛家定存控"
"1c4381a3","66以上","男","新北市","愛搜愛比網購客"
"c2e54dde","41-45歲","女","高雄市","運動科技潮人"
"650fa7cd","36-40歲","女","彰化縣","樂動廣告品牌控"
"6b69f5ad","56-60歲","男","台中市","愛搜愛比網購客"
"7ba9041b","31-35歲","女","新北市","品味養生理財貴族"
"d08db16a","56-60歲","女","台北市","網購社媒手機迷"
"86ee68aa","31-35歲","女","高雄市","傳統保健理財族"
"e0c39ae9","46-50歲","男","新北市","愛搜愛比網購客"
"df7efbe6","66以上","男","台中市","愛搜愛比網購客"
"4ae45597","41-45歲","女","新竹市","傳統保健理財族"
"c63d50f8","46-50歲","男","台中市","愛搜愛比網購客"
"2acf036d","41-45歲","女","新北市","運動科技潮人"
"6bfebbc5","51-55歲","女","苗栗縣","品味養生理財貴族"
"4ec9eead","46-50歲","女","台中市","愛搜愛比網購客"
"99a478ff","26-30歲","女","新竹縣","物質享樂衝購族"
"3b2b6252","36-40歲","男","雲林縣","獨立愛遊理財新手"
"612128a9","41-45歲","女","台中市","品味養生理財貴族"
"5470aad1","31-35歲","女","台北市","物質享樂衝購族"
"e8f9dd4f","51-55歲","女","高雄市","傳統保健理財族"
"1a645cf4","56-60歲","男","新北市","運動科技潮人"
"5ea5b930","66以上","男","台北市","傳統保健理財族"
"b562a6f0","51-55歲","男","嘉義市","傳統保健理財族"
"1c7a1079","31-35歲","女","高雄市","獨立愛遊理財新手"
"2cf4dc92","31-35歲","女","彰化縣","物質享樂衝購族"
"7a1bc91f","46-50歲","女","台南市","品味養生理財貴族"
"251da03e","56-60歲","女","台北市","獨立愛遊理財新手"
"066ac8a2","31-35歲","女","台北市","品味養生理財貴族"
"211adc46","46-50歲","男","台北市","運動科技潮人"
"1d09f8ac","51-55歲","男","新北市","樂動廣告品牌控"
"313db7a0","36-40歲","男","新北市","樂動廣告品牌控"
"f3bf701b","41-45歲","女","台南市","健康愛家定存控"
"cf8fc584","41-45歲","男","台北市","愛搜愛比網購客"
"9f496471","31-35歲","男","台南市","網購社媒手機迷"
"8244d87f","31-35歲","男","嘉義市","運動科技潮人"
"5194de0e","56-60歲","男","台南市","愛搜愛比網購客"
"4e641fb6","31-35歲","女","桃園市","物質享樂衝購族"
"ed2252b2","56-60歲","男","新北市","運動科技潮人"
"1a9157dd","61-65歲","男","新北市","傳統保健理財族"
"fba00705","46-50歲","女","苗栗縣","愛搜愛比網購客"
"9c9b111e","41-45歲","女","新北市","品味養生理財貴族"
"63ca2379","46-50歲","女","新竹縣","樂動廣告品牌控"
"d2da32ef","36-40歲","女","新北市","運動科技潮人"
"107fb72c","46-50歲","男","新竹市","愛搜愛比網購客"
"bc5636c3","41-45歲","男","桃園市","愛搜愛比網購客"
"da628158","36-40歲","女","新北市","獨立愛遊理財新手"
"d2fa4ce4","51-55歲","女","台北市","傳統保健理財族"
"014065fa","46-50歲","男","台中市","運動科技潮人"
"8450e085","61-65歲","女","桃園市","品味養生理財貴族"
"0418e12b","41-45歲","女","基隆市","品味養生理財貴族"
"271b0230","31-35歲","女","屏東縣","健康愛家定存控"
"89e0f64e","31-35歲","女","台中市","健康愛家定存控"
"53edaf0e","31-35歲","女","台北市","物質享樂衝購族"
"b3ed9d32","36-40歲","女","新北市","健康愛家定存控"
"4c6c0a2d","31-35歲","男","高雄市","樂動廣告品牌控"
"80302e32","56-60歲","男","嘉義市","樂動廣告品牌控"
"4ebac9c2","56-60歲","男","新竹市","愛搜愛比網購客"
"393bab9f","51-55歲","女","高雄市","獨立愛遊理財新手"
"9e2e1a88","41-45歲","男","新北市","運動科技潮人"
"10e5a90b","36-40歲","女","台北市","品味養生理財貴族"
"3b807d72","51-55歲","女","基隆市","網購社媒手機迷"
"9ed6dc85","36-40歲","女","高雄市","健康愛家定存控"
"e1fa72b7","46-50歲","女","台中市","獨立愛遊理財新手"
"286345b8","31-35歲","男","新北市","運動科技潮人"
"9cec3d6a","61-65歲","女","新竹市","傳統保健理財族"
"c878b0e7","46-50歲","男","新竹縣","運動科技潮人"
"4ac481db","66以上","男","台北市","傳統保健理財族"
"4b7f7211","36-40歲","女","高雄市","網購社媒手機迷"
"937ead68","46-50歲","男","台北市","樂動廣告品牌控"
"b8033d63","31-35歲","女","新竹縣","物質享樂衝購族"
"625de21c","46-50歲","女","台中市","樂動廣告品牌控"
"7b5bb240","51-55歲","女","桃園市","品味養生理財貴族"
"e299cf71","31-35歲","女","台中市","運動科技潮人"
