"order_num","detail_no","description","quantity","unit_price","amount"
"815","1","新萃NS/無穀-全齡貓 鄉村(嫩雞+野鴨) 1LB","1","350","350"
"851","4","歐司特-特級餐包 鮪魚蟹肉棒70g","2","33","66"
"851","1","邦比貓餐罐-鮪魚+鮮蝦80g","3","36","108"
"851","2","養生湯罐(除毛球)白身鮪魚+蔬菜80g","6","29","174"
"866","3","其他支付媒體","1","0","0"
"938","1","費利威補充瓶","1","1050","1050"
"874","5","總折價","1","-257","-257"
"851","9","其他支付媒體","1","0","0"
"851","6","歐司特-特級餐包 鮪魚蛋蔬70g","2","33","66"
"851","5","歐司特-特級餐包 鮪魚海鮮70g","2","33","66"
"851","3","邦比貓餐罐-鮪魚+蟹肉80g","3","36","108"
"814","3","其他支付媒體","1","0","0"
"957","4","總折價","1","-520","-520"
"837","3","其他支付媒體","1","0","0"
"837","1","銀貓罐頭(白身鮪魚+柴魚)80g","6","25","150"
"895","2","總折價","1","-90","-90"
"867","2","銀貓罐頭(白身鮪魚+雞肉)80g","1","25","25"
"867","3","總折價","1","-82","-82"
"820","1","09月東購兌換核銷贈品條碼","1","0","0"
"904","3","總折價","1","-37","-37"
"867","8","銀貓罐頭(白身鮪魚+蟹肉)80g","2","25","50"
"867","9","銀貓罐頭(白身鮪魚+蔬菜)80g","2","25","50"
"867","12","銀貓罐頭(白身鮪魚+柴魚)80g","2","25","50"
"867","10","銀貓罐頭(鮪魚+吻仔魚)80g","2","25","50"
"932","4","怪獸無膠副食罐(80g)-鰹塊肉煲餐","1","27","27"
"904","1","MAMAMIA雞湯餐罐-100%純雞肉170g","1","35","35"
"867","7","銀貓罐頭(白身鮪魚+蝦肉)80g","2","25","50"
"808","5","長崎丁香魚乾40g","1","140","140"
"808","3","BonePlus貓專用魚造型薄荷潔牙骨-牛奶味","1","89","89"
"808","7","其他支付媒體","1","0","0"
"808","2","PV貓專用海鮮鮮極棒15g","1","45","45"
"880","3","其他支付媒體","1","0","0"
"932","19","金湯愛貓湯罐(白身鮪魚+小麥草)80g","4","28","112"
"946","2","新萃NS/無穀-全齡犬 冰湖(鮭魚+鯡魚)(S) 1LB","1","310","310"
"946","1","瑞威全犬3號海洋魚貝10kg","1","3200","3200"
"932","15","好味小姐1+1滴雞精貓肉泥主食罐-鮮香鰹魚81g","1","70","70"
"932","10","總折價","1","-504","-504"
"932","7","PV貓薄荷餅-蟹肉風味20g*5","1","109","109"
"834","1","旋轉球1+1(貓薄荷)","1","155","155"
"834","3","總折價","1","-120","-120"
"834","4","其他支付媒體","1","0","0"
"904","4","其他支付媒體","1","0","0"
"959","2","(珍)火雞優多-TTR01火雞筋甜甜圈(小)12g","2","90","180"
"946","4","總折價","1","-366","-366"
"945","2","總折價","1","-1","-1"
"946","3","小型購物袋(個)","1","1","1"
"945","1","東寵銀卡","1","1001","1001"
"945","3","其他支付媒體","1","0","0"
"937","1","西莎點心-低脂雞胸培根切片口味 80g","2","139","278"
"2894","11","Zimple-極簡鮮食主食罐 慢燉鮮雞佐牛肉絲85g","1","55","55"
"2879","7","其他支付媒體","1","0","0"
"2931","2","總折價","1","-361","-361"
"2377","3","其他支付媒體","1","0","0"
"3028","2","CIAO啾嚕肉泥-鮪魚+干貝14g*4入","2","100","200"
"2887","3","其他支付媒體","1","0","0"
"3100","1","CIAO啾嚕肉泥-鮪魚+柴魚片14g*4入","3","100","300"
"3076","3","其他支付媒體","1","0","0"
"3159","3","總折價","1","-40","-40"
"3269","13","益菌?革命-寵物專用益生菌除蚤抗菌噴霧升級版(50ml)","1","249","249"
"3204","3","貓倍麗美國經典主食罐-香烤鮭魚佐鮮蝦85g","1","50","50"
"3207","4","銀湯匙餐包-鮪魚 60g","2","43","86"
"3194","3","BOby餐杯(角切牛肉+雞肉+起司)80g","4","24","96"
"3126","5","其他支付媒體","1","0","0"
"3149","17","吶一口無穀貓湯罐-鮪魚鮭魚80g","2","32","64"
"3269","2","折扣活動總金額","1","-30","-30"
"3064","1","包月/美容服務","1","2400","2400"
"3218","8","CIAO啾嚕11歲肉泥-鰹魚+鮪魚14g*4入","1","100","100"
"3074","1","DR.ELSEY S貓艾歐-貓砂(粉)-細緻觸感20磅","2","550","1100"
"3214","5","CIAO 啾嚕肉泥-奢華鮭魚  14g*4入","2","110","220"
"3151","4","特級金貓大罐(鮪+吻)170g","2","44","88"
"3060","2","總折價","1","-55","-55"
"3049","2","元氣梯牧草(苜蓿草)350g/J07-6","1","120","120"
"3151","1","特級金貓大罐(鮪+吻仔+雞)170g","2","44","88"
"3268","3","益菌的革命-犬用寵物益生菌口腔抗菌慕斯50ml","1","320","320"
"3207","7","總折價","1","-1570","-1570"
"3106","1","日本菲力貓-(新)奶香派對牛奶巧達起司風味60g","1","109","109"
"3168","7","愛喜雅健康缶水份補給1號-鮪泥狀40g","3","50","150"
"3130","2","泰和工坊雙鋼珠水瓶80CC","1","150","150"
"3055","3","VITA2019貓快餐鱈魚 黑鱈魚3條入18g","3","70","210"
"3091","2","總折價","1","0","0"
"3260","8","吃貨拼盤嫩汁牛排佐野菜全齡犬犬用主食餐盒#4/100g","4","43","172"
"3095","3","原燒貓罐(除毛球)白身鮪魚+蟹肉80g","1","29","29"
"3143","5","原燒貓罐(除毛球)雞肉+鮪魚+蟹肉80g","1","29","29"
"3253","2","總折價","1","-57","-57"
"3191","4","其他支付媒體","1","0","0"
"3218","3","其他支付媒體","1","0","0"
"3115","4","總折價","1","-143","-143"
"3106","4","RICO無膠貓用主食罐4號-鮪雞+干貝85g","1","62","62"
"3208","6","CIAO啾嚕肉泥-鰹魚肉塊14g*4入","3","100","300"
"3425","12","怪獸-佛跳牆 澎湃美味四喜罐-海味三珍80g","2","35","70"
"3425","15","汪喵-挑嘴貓主食罐80g-鯖魚雞肉","3","51","153"
"3331","1","C.C.P挪威天然鮭魚油170ml","1","469","469"
"3415","2","GOODIES耐嚼型潔牙棒羊肉風味(2支)85g","1","47","47"
"3333","1","優格高齡犬羊肉配方7kg/T3107","1","1635","1635"
"3425","10","其他支付媒體","1","0","0"
"3331","4","好快樂寵物毛魚油-25入裝(6顆/入)","2","1300","2600"
"3415","1","IRIS-防抓式平面狗便盆(小)-桃/TFT-495-11","1","520","520"
"3375","5","其他支付媒體","1","0","0"
"3375","2","汪喵-挑嘴貓主食罐165g-鯖魚雞肉","5","80","400"
"3375","1","x汪喵-挑嘴貓主食罐165g-鮭魚鰹魚","5","80","400"
"3375","3","x汪喵-挑嘴貓主食罐165g-秋刀魚雞肉","5","80","400"
"3425","16","RICO無膠貓用主食罐4號-鮪雞+干貝85g","1","62","62"
