"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"1f5eff7c","46-50歲","女","台北市","運動科技潮人"
"cce8ebd1","36-40歲","男","台中市","物質享樂衝購族"
"2c2ff7b3","41-45歲","男","新北市","運動科技潮人"
"f1132aa5","41-45歲","女","台中市","運動科技潮人"
"f3f1c9a8","66以上","女","新北市","健康愛家定存控"
"b148ec8b","36-40歲","女","桃園市","健康愛家定存控"
"d68d4c04","31-35歲","男","新北市","運動科技潮人"
"c0c1fc85","46-50歲","男","嘉義市","樂動廣告品牌控"
"966ca1f6","41-45歲","女","新北市","愛搜愛比網購客"
"83337747","46-50歲","男","新北市","健康愛家定存控"
"33d3098a","46-50歲","女","台北市","愛搜愛比網購客"
"5bd8a08c","41-45歲","女","台中市","健康愛家定存控"
"4e1f6d1f","31-35歲","女","新北市","運動科技潮人"
"5c1e4ca8","46-50歲","女","桃園市","網購社媒手機迷"
"9d187e67","56-60歲","男","新北市","品味養生理財貴族"
"71697986","41-45歲","女","新北市","運動科技潮人"
"9862d9a1","56-60歲","男","新北市","樂動廣告品牌控"
"26c2fee3","31-35歲","女","新竹縣","健康愛家定存控"
"4e701bcd","51-55歲","男","台北市","運動科技潮人"
"bb83ac56","46-50歲","男","台北市","運動科技潮人"
"267f7f0c","46-50歲","女","新北市","網購社媒手機迷"
"5e043220","56-60歲","男","桃園市","健康愛家定存控"
"2dcf3faa","61-65歲","男","台北市","運動科技潮人"
"58645ac5","66以上","女","台南市","品味養生理財貴族"
"b0aae595","31-35歲","男","新北市","運動科技潮人"
"0c36cee7","41-45歲","女","新北市","物質享樂衝購族"
"358eb807","36-40歲","女","新北市","物質享樂衝購族"
"46bc7cf4","41-45歲","男","台北市","運動科技潮人"
"d3191cc7","41-45歲","男","台北市","運動科技潮人"
"834d34f0","51-55歲","女","新北市","物質享樂衝購族"
"9ce40a99","41-45歲","女","新北市","品味養生理財貴族"
"e5fddb61","51-55歲","女","台北市","品味養生理財貴族"
